year,days,calendar_return,annualized_return,maximum_drawdown,sharpe_ratio,calmar_ratio,average_gross_exposure,average_signal_gross_budget,average_active_signal_count
2023,170,0.05641315696302218,0.08475111611990593,0.05125116181214351,0.7648999417038815,1.6536428272700134,0.569168357700251,0.4237020829959532,0.6352941176470588
2024,242,0.1614104109112764,0.1686139730902223,0.0769925145731517,1.1422850062325296,2.190004755982086,0.5619962743211067,0.45521971141135176,0.6983471074380165
2025,243,0.13265876895620798,0.1378965001862984,0.07719587222556701,0.9826850679356468,1.7863196076516064,0.48628901839147404,0.4073136673527741,0.6707818930041153
2026,44,0.021666924162886403,0.13062111628450013,0.1130610768067295,0.5756927967518038,1.1553146314693992,0.47455958370250273,0.48980527087583514,0.75
