product,sector,gross_pnl_amount,cost_amount,net_pnl_amount,avg_weight,avg_execution_weight,contribution_pct
IF,equity_index,0.2077813287771816,0.010501231415616683,0.19728009736156493,0.09592283799554874,0.09592283799554874,0.469935481425417
M,agriculture,0.16335201717046158,0.005031379306253059,0.15832063786420852,0.10185336516674873,0.10275186926061669,0.3771312269678097
AU,precious_metals,0.14773658336970694,0.008298503956553288,0.13943807941315367,0.11713140396491926,0.11713140396491926,0.332151605024614
IM,equity_index,0.002740270931697493,0.0049482690072154565,-0.0022079980755179696,0.04562208866221616,0.04562208866221616,-0.005259611346922849
TL,rates,-0.01700374756222733,0.006888512167365874,-0.023892259729593204,0.09349262559023555,0.09349262559023555,-0.056913093254357575
I,ferrous,-0.042993756979399604,0.006142284064011989,-0.049136041043411606,0.07623021557093629,0.07699701765491683,-0.11704560881656043
