trade_date,product,sector,ts_code,contract_switch,roll_ratio,roll_adjustment_factor,open,high,low,close,vol,oi,return,vol_20,vol_60,forward_return_5,forward_return_20,forward_vol_adj_return_5,forward_vol_adj_return_20,regime,regime_signal,trend_score,range_score,compression_regime,noise_score,strength_score,smoothness_score,consistency_score,breakout_score,drawdown_score,trend_following_score,trend_state_score,strength_score_minimal,smoothness_score_minimal,consistency_score_minimal,breakout_score_minimal,drawdown_score_minimal,composite_score_full,composite_score_minimal,composite_score_full_vol_neutral,optimized_score_global,optimized_score_sector,composite_score_optimized,is_trend_asset,entry_excess_score,hold_excess_score,active_signal,trend_asset_count,active_signal_count,score_spread_top1_top2,avg_active_excess_score,signal_gross_budget,base_target_weight,vol_scale,drawdown_scale,execution_weight,lagged_execution_weight,turnover_component,gross_contribution,transaction_cost_component,net_contribution,gross_exposure
2023-04-21,AU,precious_metals,AU2308.SHF,1,0.997430348931566,0.866579569842499,387.2917413540097,388.0196681926773,383.669438752068,384.44936036492624,89494.0,168919.0,-0.0045890133621271,0.007339259663171,0.0076576766351775,0.003516364619962,0.0141105400775403,0.4791170746563761,1.9226108252236889,neutral,0.0,2,2,True,0.5713007690056825,0.8343302190745814,0.9527907589739338,0.0470699699720549,1.2023201750361168,1.0945470245716444,1.0209970444140692,0.0,0.9166971732250002,0.9093308386735208,0.7621301289738419,1.133620360009103,0.9211140060407628,0.8803387137785599,0.732660555058641,0.5227045804743055,0.2201689904655514,0.0,0.2201689904655514,0.0,0.0,0.0,False,1,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2023-04-21,I,ferrous,I2309.DCE,0,1.0,4.510028147477148,3405.0712513452468,3425.3663780088937,3292.320547658318,3294.5755617320565,833505.0,789427.0,-0.0407091267235718,0.0173790340141606,0.0162395382929244,-0.0225872689938398,-0.0657084188911704,-1.29968495230722,-3.7809016794391743,neutral,0.0,1,1,False,0.2194716481666768,-0.3015648453617456,-0.4388657223171023,0.0709485606054443,-0.794833804475118,-0.3809932867406397,-0.4790644147236514,-0.0,0.0365535962168662,0.060573675562893,-0.256469494210977,-0.6971588517414096,0.0967563210604252,-0.4208247565164011,-0.35325522920103,1.1553922632177187,0.2395289539920216,0.0,0.2395289539920216,0.0,0.0,0.0,False,1,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2023-04-21,IF,equity_index,IF2306.CFX,0,1.0,1.3009991085686632,5344.504338000068,5350.488933899484,5243.026407531713,5244.327406640281,26736.0,92344.0,-0.0187439143135345,0.0074203332446293,0.0086925263405451,-0.0019846192011906,-0.045547010667328,-0.2674568831025274,-6.138135467203386,range,-1.0,0,4,True,0.2583012482971178,0.7739234741426175,0.7392052205360664,0.3083986451290765,0.7294980453786125,0.4805496677694477,0.680794101956686,-0.680794101956686,0.4464094500724655,0.436755633782708,-0.5147889884179503,0.5346387865940858,0.3922188745621608,0.640961316084001,0.0597900101141082,0.1388245354153496,0.1560629929424998,-0.7071067811865476,0.1560629929424998,0.0,0.0,0.0,False,1,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2023-04-21,IM,equity_index,IM2306.CFX,0,1.0,1.0928078251168687,7536.658446700997,7536.658446700997,7354.15953990648,7357.000840251783,19077.0,67878.0,-0.0241774170169589,0.0071539174585558,0.0079199222264316,-0.0019904340334512,-0.0349365734826654,-0.2782299411451443,-4.883558369950469,range,-1.0,1,2,True,0.3423083893169061,0.2848123628614065,0.2588710827070584,1.1664154898375532,0.0414796113418511,,0.1950543523034386,-0.1950543523034386,,,1.2472088764567004,,,0.4576204761052851,1.052879863686938,-0.3076384450063452,1.0486251656518428,0.7071067811865475,1.0486251656518428,0.0,0.0,0.0,False,1,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2023-04-21,M,agriculture,M2309.DCE,0,1.0,1.57133163920753,5399.095512317073,5436.807471658054,5345.670236584017,5350.38423150164,942738.0,1380471.0,-0.0116110304789549,0.0142871999451033,0.0109308855484275,0.0270190895741555,0.0120411160058737,1.891139598939808,0.8427904734405731,trend,1.0,2,1,True,0.2988956180976131,-1.59150121071686,-1.5120013398999563,-1.5928326655441292,-1.1784640272814626,-1.1941034056004525,-1.3690174958746828,-1.3690174958746828,-1.399660219514332,-1.406660148019122,-1.238080522801615,-0.9711002948617792,-1.410089201663349,-1.558095749451445,-1.4920751996586572,-1.5092829341010283,-1.6643861030519156,0.0,-1.6643861030519156,1.0,0.0,0.0,False,1,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2023-04-21,TL,rates,TL2306.CFX,0,1.0,1.0,96.09,96.28,96.01,96.21,11587.0,4556.0,,,,0.0044693898763124,0.0144647319353927,,,neutral,0.0,0,0,False,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,False,1,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0
2023-04-24,AU,precious_metals,AU2308.SHF,0,1.0,0.866579569842499,384.17205490257663,386.3731670099766,381.936279612383,383.30547533273415,101249.0,169357.0,-0.0029753854476601,0.0072857966931538,0.0075954939627804,0.0292548381262434,0.0128413818050279,4.015324522263029,1.7625226651046235,range,-1.0,1,3,True,0.6226094520135761,1.029000584692146,1.1469638396580588,-0.1079861690795089,1.6912027251978017,1.2805821015608014,1.286937312777202,-1.286937312777202,0.9465688323831654,0.8996070951728269,0.4353369244068734,1.3781680534220464,1.071825445767855,1.19742709741014,0.7771777904974981,1.069970941887617,-0.3428287358605765,0.0,-0.3428287358605765,0.0,0.0,0.0,False,2,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2023-04-24,I,ferrous,I2309.DCE,0,1.0,4.510028147477148,3294.5755617320565,3319.380716543181,3226.9251395198994,3253.9853084047622,864876.0,778821.0,-0.0123203285420944,0.0170474134816367,0.0161826793806055,-0.0318780318780318,-0.056133056133056,-1.8699629660752015,-3.2927608750454644,trend,1.0,2,0,False,0.150863507526216,-0.6957686150314517,-1.0208071821607585,-0.24369404408233,-0.5557413329303377,-0.4830343227050354,-0.6888378632068958,-0.6888378632068958,-0.0978018419553799,-0.0299534636655335,-1.4279944221819283,-0.6845109406072476,0.0365312507998213,-0.7305765663134848,-0.6847930708390858,0.87781422260392,-0.2094818843175302,0.0,-0.2094818843175302,1.0,0.0,0.0,False,2,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2023-04-24,IF,equity_index,IF2306.CFX,0,1.0,1.3009991085686632,5250.572202361411,5253.434400400262,5155.859467257612,5177.976452103279,27111.0,91825.0,-0.0126519474075911,0.0079365700006582,0.0088097463924576,0.0110552763819096,-0.0369346733668342,1.3929539311053345,-4.6537324516473415,range,-1.0,1,2,True,0.1863298508503023,0.7792842729550945,0.8560350983814513,0.3268743302673703,0.138398454599019,0.2371294422476655,0.5027118170458077,-0.5027118170458077,0.5068091656385718,0.5169245028512279,-0.2480836040989631,0.0956177644251894,0.2318332286367349,0.5493775974479963,0.0122978369707057,0.0808302188183446,0.3322847085694757,-0.7071067811865476,0.3322847085694757,0.0,0.0,0.0,False,2,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2023-04-24,IM,equity_index,IM2306.CFX,0,1.0,1.0928078251168687,7349.132623910942,7368.366041632999,7271.543268327644,7308.043049686547,14424.0,66405.0,-0.0066545854252696,0.0072788223396428,0.0079064900151395,0.0021832102162275,-0.0314920596943505,0.2999400334772687,-4.326532263719951,range,-1.0,1,2,True,0.2970122220695193,0.2282588185740025,-0.0288836782697757,1.3947555929919662,-0.6522812457149607,,-0.150968701803578,0.150968701803578,,,1.3059538707832394,,,0.2710684169030117,1.1562576370545636,-0.9132367682015824,1.4708889548527793,0.7071067811865476,1.4708889548527793,0.0,0.0,0.0,False,2,0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
